architecture,regime,seed,dataset,alpha_train,alpha_test,acc,loss
mlp_large,noisy,2,cifar10,0.5,0.2,0.49560000000000004,1.4227923426437379
cnn,clean,0,cifar10,0.5,0.0,0.6777,0.9256742736816407
cnn,clean,0,cifar10,0.5,0.01,0.6781200000000001,0.9249680311203002
cnn,clean,0,cifar10,0.5,0.02,0.67766,0.9277996481132508
cnn,clean,0,cifar10,0.5,0.05,0.67164,0.9471387108230591
cnn,clean,0,cifar10,0.5,0.1,0.64822,1.0164882137680054
cnn,clean,0,cifar10,0.5,0.2,0.56942,1.264513189792633
cnn,clean,1,cifar10,0.5,0.0,0.6627,0.9662513690948487
cnn,clean,1,cifar10,0.5,0.01,0.6622399999999999,0.9650782694625855
cnn,clean,1,cifar10,0.5,0.02,0.6612199999999999,0.9711516223526001
cnn,clean,1,cifar10,0.5,0.05,0.65838,0.9785681935310364
cnn,clean,1,cifar10,0.5,0.1,0.63562,1.0464268027496337
cnn,clean,1,cifar10,0.5,0.2,0.52466,1.513297614440918
cnn,clean,2,cifar10,0.5,0.0,0.683,0.912676784324646
cnn,clean,2,cifar10,0.5,0.01,0.6824,0.9122612117195128
cnn,clean,2,cifar10,0.5,0.02,0.6824,0.9135274201965332
cnn,clean,2,cifar10,0.5,0.05,0.67266,0.9425088118743897
cnn,clean,2,cifar10,0.5,0.1,0.6519,1.0005041736984253
cnn,clean,2,cifar10,0.5,0.2,0.50152,1.554645297756195
cnn,noisy,0,cifar10,0.5,0.0,0.6011,1.1278443641662597
cnn,noisy,0,cifar10,0.5,0.01,0.60152,1.1277954901885987
cnn,noisy,0,cifar10,0.5,0.02,0.6015400000000001,1.1278158973312378
cnn,noisy,0,cifar10,0.5,0.05,0.6013,1.1273498413467409
cnn,noisy,0,cifar10,0.5,0.1,0.59914,1.1332306821823122
cnn,noisy,0,cifar10,0.5,0.2,0.59222,1.1556388241767883
cnn,noisy,1,cifar10,0.5,0.0,0.6086,1.1171610813140869
cnn,noisy,1,cifar10,0.5,0.01,0.60878,1.117247548904419
